Algorithm: LambdaMART
Dataset: MQ2007

Performance on testing set
Fold	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
1	0.4487	0.4211	0.4175	0.4197	0.4204	0.4262	0.4290	0.4362	0.4419	0.4477	0.4309
2	0.4566	0.4315	0.4229	0.4230	0.4243	0.4285	0.4344	0.4398	0.4460	0.4528	0.4360
3	0.4763	0.4446	0.4361	0.4337	0.4351	0.4396	0.4439	0.4514	0.4573	0.4630	0.4481
4	0.5128	0.4669	0.4496	0.4459	0.4473	0.4512	0.4544	0.4579	0.4645	0.4686	0.4619
5	0.4855	0.4654	0.4515	0.4510	0.4502	0.4541	0.4589	0.4630	0.4671	0.4726	0.4619
Avg	0.4760	0.4459	0.4355	0.4347	0.4355	0.4399	0.4441	0.4497	0.4554	0.4609	0.4478

Fold	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MeanP
1	0.5261	0.4572	0.4366	0.4238	0.4100	0.4046	0.3939	0.3879	0.3805	0.3739	0.4195
2	0.5359	0.4695	0.4359	0.4191	0.4057	0.3966	0.3884	0.3814	0.3763	0.3714	0.4180
3	0.5552	0.4827	0.4530	0.4317	0.4181	0.4084	0.3986	0.3939	0.3888	0.3829	0.4313
4	0.5897	0.4980	0.4546	0.4324	0.4239	0.4147	0.4072	0.3997	0.3954	0.3875	0.4403
5	0.5592	0.5010	0.4612	0.4463	0.4290	0.4200	0.4120	0.4036	0.3951	0.3890	0.4416
Avg	0.5532	0.4817	0.4483	0.4307	0.4173	0.4089	0.4000	0.3933	0.3872	0.3809	0.4302



Performance on validation set
Fold	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
1	0.3972	0.4006	0.3965	0.3999	0.4060	0.4152	0.4228	0.4275	0.4325	0.4418	0.4140
2	0.4841	0.4690	0.4625	0.4634	0.4663	0.4709	0.4741	0.4764	0.4808	0.4849	0.4732
3	0.4179	0.4066	0.4105	0.4161	0.4162	0.4199	0.4236	0.4285	0.4331	0.4388	0.4211
4	0.5113	0.4798	0.4667	0.4686	0.4687	0.4728	0.4750	0.4774	0.4834	0.4878	0.4792
5	0.3628	0.3585	0.3592	0.3669	0.3726	0.3763	0.3840	0.3908	0.3980	0.4053	0.3774
Avg	0.4347	0.4229	0.4191	0.4230	0.4259	0.4310	0.4359	0.4401	0.4456	0.4517	0.4330

Fold	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MeanP
1	0.4661	0.4484	0.4218	0.4108	0.4071	0.4071	0.4016	0.3905	0.3795	0.3773	0.4110
2	0.5476	0.5030	0.4762	0.4613	0.4446	0.4380	0.4269	0.4159	0.4074	0.4006	0.4522
3	0.4985	0.4572	0.4553	0.4469	0.4324	0.4228	0.4147	0.4082	0.3999	0.3932	0.4329
4	0.5782	0.4985	0.4562	0.4403	0.4248	0.4159	0.4029	0.3910	0.3859	0.3778	0.4372
5	0.4395	0.4218	0.4022	0.3931	0.3847	0.3727	0.3666	0.3614	0.3569	0.3513	0.3850
Avg	0.5060	0.4658	0.4423	0.4305	0.4187	0.4113	0.4025	0.3934	0.3859	0.3800	0.4236



Performance on training set
Fold	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
1	0.4722	0.4612	0.4591	0.4600	0.4597	0.4612	0.4640	0.4694	0.4738	0.4795	0.4660
2	0.3904	0.3977	0.3960	0.3986	0.4058	0.4105	0.4145	0.4200	0.4257	0.4309	0.4090
3	0.4877	0.4778	0.4632	0.4606	0.4614	0.4652	0.4679	0.4689	0.4743	0.4807	0.4708
4	0.3618	0.3586	0.3553	0.3549	0.3603	0.3650	0.3762	0.3829	0.3890	0.3956	0.3700
5	0.4110	0.4063	0.4059	0.4053	0.4086	0.4113	0.4157	0.4203	0.4253	0.4331	0.4143
Avg	0.4246	0.4203	0.4159	0.4159	0.4192	0.4226	0.4277	0.4323	0.4376	0.4440	0.4260

Fold	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MeanP
1	0.5357	0.4911	0.4683	0.4487	0.4304	0.4152	0.4039	0.3996	0.3945	0.3902	0.4377
2	0.4749	0.4528	0.4395	0.4270	0.4242	0.4140	0.4075	0.4001	0.3956	0.3897	0.4225
3	0.5664	0.5133	0.4631	0.4410	0.4254	0.4145	0.4008	0.3884	0.3820	0.3772	0.4372
4	0.4307	0.4218	0.4012	0.3850	0.3735	0.3658	0.3628	0.3569	0.3507	0.3460	0.3794
5	0.4720	0.4454	0.4297	0.4130	0.4029	0.3918	0.3831	0.3765	0.3677	0.3637	0.4046
Avg	0.4959	0.4649	0.4404	0.4229	0.4113	0.4002	0.3916	0.3843	0.3781	0.3734	0.4163

