Algorithm: LambdaMART
Dataset: MQ2007

Performance on testing set
Fold	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
1	0.4615	0.4182	0.4121	0.4096	0.4110	0.4169	0.4204	0.4264	0.4350	0.4420	0.4253
2	0.4543	0.4256	0.4191	0.4190	0.4230	0.4285	0.4342	0.4407	0.4465	0.4523	0.4343
3	0.5125	0.4681	0.4544	0.4511	0.4503	0.4541	0.4574	0.4608	0.4659	0.4726	0.4647
4	0.4809	0.4413	0.4319	0.4303	0.4336	0.4395	0.4420	0.4483	0.4548	0.4612	0.4464
5	0.4632	0.4371	0.4363	0.4364	0.4353	0.4398	0.4434	0.4474	0.4533	0.4575	0.4450
Avg	0.4745	0.4380	0.4307	0.4293	0.4306	0.4357	0.4395	0.4447	0.4511	0.4571	0.4431

Fold	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MeanP
1	0.5447	0.4577	0.4317	0.4135	0.3998	0.3938	0.3846	0.3790	0.3756	0.3714	0.4152
2	0.5211	0.4558	0.4281	0.4113	0.4012	0.3935	0.3841	0.3789	0.3726	0.3666	0.4113
3	0.5828	0.4936	0.4576	0.4366	0.4213	0.4114	0.4004	0.3900	0.3818	0.3768	0.4352
4	0.5592	0.4749	0.4438	0.4273	0.4187	0.4106	0.4015	0.3971	0.3918	0.3876	0.4312
5	0.5375	0.4709	0.4517	0.4329	0.4174	0.4070	0.3987	0.3924	0.3877	0.3801	0.4276
Avg	0.5491	0.4706	0.4426	0.4243	0.4117	0.4032	0.3939	0.3875	0.3819	0.3765	0.4241



Performance on validation set
Fold	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
1	0.4031	0.3884	0.3906	0.3937	0.4003	0.4078	0.4120	0.4217	0.4302	0.4395	0.4087
2	0.4236	0.4199	0.4297	0.4277	0.4341	0.4426	0.4446	0.4482	0.4516	0.4568	0.4379
3	0.3963	0.3908	0.3900	0.3984	0.3986	0.4020	0.4044	0.4096	0.4150	0.4218	0.4027
4	0.4435	0.4300	0.4290	0.4276	0.4285	0.4353	0.4414	0.4459	0.4499	0.4568	0.4388
5	0.3736	0.3721	0.3718	0.3696	0.3801	0.3851	0.3886	0.3953	0.4054	0.4140	0.3856
Avg	0.4080	0.4002	0.4022	0.4034	0.4083	0.4146	0.4182	0.4242	0.4304	0.4378	0.4147

Fold	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MeanP
1	0.4661	0.4292	0.4208	0.4093	0.4024	0.3977	0.3873	0.3835	0.3812	0.3779	0.4055
2	0.4792	0.4449	0.4464	0.4256	0.4179	0.4142	0.4022	0.3940	0.3886	0.3824	0.4195
3	0.4631	0.4469	0.4287	0.4285	0.4153	0.4056	0.3974	0.3879	0.3828	0.3794	0.4136
4	0.5103	0.4705	0.4415	0.4196	0.4059	0.3977	0.3895	0.3803	0.3732	0.3692	0.4158
5	0.4543	0.4322	0.4169	0.3945	0.3888	0.3805	0.3683	0.3617	0.3602	0.3578	0.3915
Avg	0.4746	0.4447	0.4309	0.4155	0.4060	0.3992	0.3889	0.3815	0.3772	0.3733	0.4092



Performance on training set
Fold	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
1	0.4117	0.4094	0.4153	0.4157	0.4254	0.4320	0.4353	0.4410	0.4454	0.4516	0.4283
2	0.3795	0.3776	0.3815	0.3887	0.3911	0.3987	0.4028	0.4087	0.4129	0.4201	0.3962
3	0.3913	0.3996	0.4100	0.4090	0.4133	0.4209	0.4255	0.4298	0.4333	0.4377	0.4170
4	0.3717	0.3723	0.3711	0.3754	0.3826	0.3859	0.3932	0.3984	0.4050	0.4105	0.3866
5	0.3894	0.3942	0.3945	0.4052	0.4047	0.4086	0.4151	0.4227	0.4284	0.4382	0.4101
Avg	0.3887	0.3906	0.3945	0.3988	0.4034	0.4092	0.4144	0.4201	0.4250	0.4316	0.4076

Fold	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MeanP
1	0.4673	0.4435	0.4325	0.4152	0.4113	0.4077	0.3971	0.3929	0.3879	0.3848	0.4140
2	0.4484	0.4292	0.4228	0.4196	0.4088	0.4036	0.3982	0.3920	0.3848	0.3820	0.4089
3	0.4543	0.4454	0.4336	0.4130	0.4047	0.3958	0.3886	0.3799	0.3705	0.3624	0.4048
4	0.4425	0.4248	0.4022	0.3938	0.3876	0.3771	0.3717	0.3632	0.3576	0.3510	0.3871
5	0.4543	0.4381	0.4208	0.4204	0.4047	0.3928	0.3856	0.3820	0.3756	0.3720	0.4046
Avg	0.4533	0.4362	0.4224	0.4124	0.4034	0.3954	0.3882	0.3820	0.3753	0.3705	0.4039

